image_name,damage_percentage
0001.jpeg,0.6
0002.jpeg,0.1
0003.jpeg,0.15
0004.jpeg,0.94
0005.jpeg,0.3
0006.jpeg,0.88
0007.jpeg,0.14
0008.jpeg,0.24
0009.jpeg,0.46
0010.jpeg,0.39
0011.jpeg,0.01
0012.jpeg,0.03
0013.jpeg,0.7
0014.jpeg,0.3
0015.jpeg,0.2
0016.jpeg,0.19
0017.jpeg,0.23
0018.jpeg,0.03
0019.jpeg,0.31
0020.jpeg,0.36
0021.jpeg,0.43
0022.jpeg,0.29
0023.jpeg,0.24
0024.jpeg,0.13
0025.jpeg,0.25
0026.jpeg,0.09
0027.jpeg,0.16
0028.jpeg,0.07
0029.jpeg,0.34
0030.jpeg,0.26
0031.jpeg,0.57
0032.jpeg,0.13
0033.jpeg,0.05
0034.jpeg,0.09
0035.jpeg,0.02
0036.jpeg,0.5
0037.jpeg,0.1
0038.jpeg,0.2
0039.jpeg,0.3
0040.jpeg,0.07
0041.jpeg,0.07
0042.jpeg,0.41
0043.jpeg,0.46
0044.jpeg,0.45
0045.jpeg,0.34
0046.jpeg,0.25
0047.jpeg,0.27
0048.jpeg,0.31
0049.jpeg,0.76
0050.jpeg,0.31
0051.jpeg,0.21
0052.jpeg,0.79
0053.jpeg,0.69
0054.jpeg,0.68
0055.jpeg,0.42
0056.jpeg,0.6
0057.jpeg,0.1
0058.jpeg,0.15
0059.jpeg,0.94
0060.jpeg,0.3
0061.jpeg,0.88
0062.jpeg,0.14
0063.jpeg,0.24
0064.jpeg,0.46
0065.jpeg,0.39
0066.jpeg,0.01
0067.jpeg,0.03
0068.jpeg,0.7
0069.jpeg,0.3
0070.jpeg,0.2
0071.jpeg,0.19
0072.jpeg,0.23
0073.jpeg,0.03
0074.jpeg,0.31
0075.jpeg,0.36
0076.jpeg,0.43
0077.jpeg,0.29
0078.jpeg,0.24
0079.jpeg,0.13
0080.jpeg,0.25
0081.jpeg,0.09
0082.jpeg,0.16
0083.jpeg,0.07
0084.jpeg,0.34
0085.jpeg,0.26
0086.jpeg,0.57
0087.jpeg,0.13
0088.jpeg,0.05
0089.jpeg,0.09
0090.jpeg,0.02
0091.jpeg,0.5
0092.jpeg,0.1
0093.jpeg,0.2
0094.jpeg,0.3
0095.jpeg,0.07
0096.jpeg,0.07
0097.jpeg,0.41
0098.jpeg,0.46
0099.jpeg,0.45
0100.jpeg,0.34
0101.jpeg,0.25
0102.jpeg,0.27
0103.jpeg,0.31
0104.jpeg,0.76
0105.jpeg,0.31
0106.jpeg,0.21
0107.jpeg,0.79
0108.jpeg,0.69
0109.jpeg,0.68
0110.jpeg,0.42
0111.jpeg,0.6
0112.jpeg,0.1
0113.jpeg,0.15
0114.jpeg,0.94
0115.jpeg,0.3
0116.jpeg,0.88
0117.jpeg,0.14
0118.jpeg,0.24
0119.jpeg,0.46
0120.jpeg,0.39
0121.jpeg,0.01
0122.jpeg,0.03
0123.jpeg,0.7
0124.jpeg,0.3
0125.jpeg,0.2
0126.jpeg,0.19
0127.jpeg,0.23
0128.jpeg,0.03
0129.jpeg,0.31
0130.jpeg,0.36
0131.jpeg,0.43
0132.jpeg,0.29
0133.jpeg,0.24
0134.jpeg,0.13
0135.jpeg,0.25
0136.jpeg,0.09
0137.jpeg,0.16
0138.jpeg,0.07
0139.jpeg,0.34
0140.jpeg,0.26
0141.jpeg,0.57
0142.jpeg,0.13
0143.jpeg,0.05
0144.jpeg,0.09
0145.jpeg,0.02
0146.jpeg,0.5
0147.jpeg,0.1
0148.jpeg,0.2
0149.jpeg,0.3
0150.jpeg,0.07
0151.jpeg,0.07
0152.jpeg,0.41
0153.jpeg,0.46
0154.jpeg,0.45
0155.jpeg,0.34
0156.jpeg,0.25
0157.jpeg,0.27
0158.jpeg,0.31
0159.jpeg,0.76
0160.jpeg,0.31
0161.jpeg,0.21
0162.jpeg,0.79
0163.jpeg,0.69
0164.jpeg,0.68
0165.jpeg,0.42
0166.jpeg,0.6
0167.jpeg,0.1
0168.jpeg,0.15
0169.jpeg,0.94
0170.jpeg,0.3
0171.jpeg,0.88
0172.jpeg,0.14
0173.jpeg,0.24
0174.jpeg,0.46
0175.jpeg,0.39
0176.jpeg,0.01
0177.jpeg,0.03
0178.jpeg,0.7
0179.jpeg,0.3
0180.jpeg,0.2
0181.jpeg,0.19
0182.jpeg,0.23
0183.jpeg,0.03
0184.jpeg,0.31
0185.jpeg,0.36
0186.jpeg,0.43
0187.jpeg,0.29
0188.jpeg,0.24
0189.jpeg,0.13
0190.jpeg,0.25
0191.jpeg,0.09
0192.jpeg,0.16
0193.jpeg,0.07
0194.jpeg,0.34
0195.jpeg,0.26
0196.jpeg,0.57
0197.jpeg,0.13
0198.jpeg,0.05
0199.jpeg,0.09
0200.jpeg,0.02
0201.jpeg,0.5
0202.jpeg,0.1
0203.jpeg,0.2
0204.jpeg,0.3
0205.jpeg,0.07
0206.jpeg,0.07
0207.jpeg,0.41
0208.jpeg,0.46
0209.jpeg,0.45
0210.jpeg,0.34
0211.jpeg,0.25
0212.jpeg,0.27
0213.jpeg,0.31
0214.jpeg,0.76
0215.jpeg,0.31
0216.jpeg,0.21
0217.jpeg,0.79
0218.jpeg,0.69
0219.jpeg,0.68
0220.jpeg,0.42
0221.jpeg,0.6
0222.jpeg,0.1
0223.jpeg,0.15
0224.jpeg,0.94
0225.jpeg,0.3
0226.jpeg,0.88
0227.jpeg,0.14
0228.jpeg,0.24
0229.jpeg,0.46
0230.jpeg,0.32
